"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
8741,101257,"2903998015","80","4-Bromo-2-chloro-1-fluorobenzene (CAS RN 60811-21-4)","2017-01-01","#NA",101256,"2903998000","80"
8742,108609,"2903998018","80","1-Fluoronaphthalene (CAS RN 321-38-0) with a purity by weight of 99 % or more","2023-07-01","#NA",101256,"2903998000","80"
8743,101264,"2903998020","80","1,2-Bis(pentabromophenyl)ethane (CAS RN 84852-53-9)","2017-01-01","#NA",101256,"2903998000","80"
8744,105560,"2903998025","80","2,2'-Dibromobiphenyl (CAS RN 13029-09-9) with a purity by weight of 95 % or more","2021-01-01","#NA",101256,"2903998000","80"
8745,101263,"2903998030","80","1,3-Dichlorobenzene (CAS RN 541-73-1)","2017-01-01","#NA",101256,"2903998000","80"
8746,105561,"2903998035","80","2-Bromo-9,9'-spirobi[9H-fluoren] (CAS RN 171408-76-7) with a purity by weight of 95 % or more","2021-01-01","#NA",101256,"2903998000","80"
8747,101262,"2903998040","80","2,6-Dichlorotoluene (CAS RN 118-69-4), of a purity by weight of 99 % or more and containing:<br> <br><br><br>- 0,001 mg/kg or less of tetrachlorodibenzodioxines,<br> <br><br><br>- 0,001 mg/kg or less of tetrachlorodibenzofurans,<br> <br><br><br>- 0,2 mg/kg or less of tetrachlorobiphenyls<br>","2017-01-01","#NA",101256,"2903998000","80"
8748,106058,"2903998045","80","1-Bromo-4-(trans-4-propylcyclohexyl)benzene (CAS RN 86579-53-5) with a purity by weight of 95 % or more","2021-07-01","#NA",101256,"2903998000","80"
8749,101265,"2903998050","80","Fluorobenzene (CAS RN 462-06-6)","2017-01-01","#NA",101256,"2903998000","80"
8750,106059,"2903998055","80","1-Bromo-4-(trans-4-ethylcyclohexyl)benzene (CAS RN 91538-82-8) with a purity by weight of 95 % or more","2021-07-01","#NA",101256,"2903998000","80"
8751,106342,"2903998065","80","2,6-Difluorobenzyl bromide (CAS RN 85118-00-9) with a purity by weight of 97 % or more","2022-01-01","#NA",101256,"2903998000","80"
8752,106343,"2903998070","80","1-[Chloro(phenyl)methyl]-2-methylbenzene (CAS RN 41870-52-4) with a purity by weight of 99 % or more","2022-01-01","#NA",101256,"2903998000","80"
8753,101261,"2903998075","80","3-Chloro-alpha,alpha,alpha-trifluorotoluene (CAS RN 98-15-7)","2017-01-01","#NA",101256,"2903998000","80"
8754,101260,"2903998080","80","1-Bromo-3,4,5-trifluorobenzene (CAS RN 138526-69-9)","2017-01-01","#NA",101256,"2903998000","80"
8755,101258,"2903998090","80","Other","2017-01-01","#NA",101256,"2903998000","80"
8756,36312,"2904000000","80","Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated","1972-01-01","#NA",36169,"2901000000","10"
8757,36313,"2904100000","80","Derivatives containing only sulpho groups, their salts and ethyl esters","1972-01-01","#NA",36312,"2904000000","80"
8758,92723,"2904100030","80","Sodium p-styrenesulphonate (CAS RN 2695-37-6)","2010-07-01","#NA",36313,"2904100000","80"
8759,92806,"2904100050","80","Sodium 2-methylprop-2-ene-1-sulphonate (CAS RN 1561-92-8)","2010-07-01","#NA",36313,"2904100000","80"
8760,36317,"2904100090","80","Other","1972-01-01","#NA",36313,"2904100000","80"
8761,36318,"2904200000","80","Derivatives containing only nitro or only nitroso groups","1972-01-01","#NA",36312,"2904000000","80"
